Id	Name	NameStr	Description	SpriteName	RLvl	Cost	CostType	SkillType	TargetType	DamageType	Power	Accuracy	CritChance	CritMulti	StatusType	StatusChance	StatusPower	BuffType	HitCount
34	ethereal_strike	Ethereal Strike	Deal medium Arcane damage to one target\nIncreased damage against targets inflicted with Shock, Freeze or Burn	searing_ray	10	60	1	8	0	7	200	100	100	100	0	0	100	0	1
35	energy_blast	Energy Blast	Deal heavy Arcane damage to one target\nIncreased damage against targets inflicted with Shock, Freeze or Burn	searing_ray	20	80	1	8	0	7	300	100	100	100	0	0	100	0	1
36	power_crush	Power Crush	Deal severe Arcane damage to one target\nIncreased damage against targets inflicted with Shock, Freeze or Burn	searing_ray	30	100	1	8	0	7	400	100	100	100	0	0	100	0	1
37	arcane_explosion	Arcane Explosion	Deal light Arcane damage to all opponents\nIncreased damage against targets inflicted with Shock, Freeze or Burn	iskenderuns_mystic_blast_new	5	100	1	8	1	7	100	100	100	100	0	0	100	0	1
38	ethereal_swipe	Ethereal Swipe	Deal medium Arcane damage to all opponents\nIncreased damage against targets inflicted with Shock, Freeze or Burn	iskenderuns_mystic_blast_new	15	150	1	8	1	7	200	100	100	100	0	0	100	0	1
39	energy_storm	Energy Storm	Deal heavy Arcane damage to all opponents\nIncreased damage against targets inflicted with Shock, Freeze or Burn	iskenderuns_mystic_blast_new	25	200	1	8	1	7	300	100	100	100	0	0	100	0	1
40	power_vortex	Power Vortex	Deal severe Arcane damage to all opponents\nIncreased damage against targets inflicted with Shock, Freeze or Burn	iskenderuns_mystic_blast_new	35	250	1	8	1	7	400	100	100	100	0	0	100	0	1
41	telekinesis	Telekinesis	Deal light Psychic damage to one target\nIncreased damage against targets inflicted with Mental Status ailments	disjunction	0	40	1	9	0	8	100	100	100	100	0	0	100	0	1
42	psychic_hammer	Psychic Hammer	Deal medium Psychic damage to one target\nIncreased damage against targets inflicted with Mental Status ailments	disjunction	10	60	1	9	0	8	200	100	100	100	0	0	100	0	1
43	mind_shatter	Mind Shatter	Deal heavy Psychic damage to one target\nIncreased damage against targets inflicted with Mental Status ailments	disjunction	20	80	1	9	0	8	300	100	100	100	0	0	100	0	1
44	mental_shutdown	Mental Shutdown	Deal severe Psychic damage to one target\nIncreased damage against targets inflicted with Mental Status ailments	disjunction	30	100	1	9	0	8	400	100	100	100	0	0	100	0	1
45	mind_ripple	Mind Ripple	Deal light Psychic damage to all opponents\nIncreased damage against targets inflicted with Mental Status ailments	dispersal_new	5	100	1	9	1	8	100	100	100	100	0	0	100	0	1
46	mind_blast	Mind Blast	Deal medium Psychic damage to all opponents\nIncreased damage against targets inflicted with Mental Status ailments	dispersal_new	15	150	1	9	1	8	200	100	100	100	0	0	100	0	1
47	mind_quake	Mind Quake	Deal heavy Psychic damage to all opponents\nIncreased damage against targets inflicted with Mental Status ailments	dispersal_new	25	200	1	9	1	8	300	100	100	100	0	0	100	0	1
48	mass_shutdown	Mass Shutdown	Deal severe Psychic damage to all opponents\nIncreased damage against targets inflicted with Mental Status ailments	dispersal_new	35	250	1	9	1	8	400	100	100	100	0	0	100	0	1
49	holy_bolt	Holy Bolt	Deal light Holy damage to one target	abjuration	0	50	1	10	0	9	150	100	100	100	0	0	100	0	1
50	smite	Smite	Deal medium Holy damage to one target	abjuration	10	75	1	10	0	9	300	100	100	100	0	0	100	0	1
51	vengeance	Vengeance	Deal heavy Holy damage to one target	abjuration	20	100	1	10	0	9	450	100	100	100	0	0	100	0	1
52	touch_of_god	Touch of God	Deal severe Holy damage to one target	abjuration	30	125	1	10	0	9	600	100	100	100	0	0	100	0	1
53	holy_nova	Holy Nova	Deal light Holy damage to all opponents	forceful_dismissal	5	125	1	10	1	9	150	100	100	100	0	0	100	0	1
54	banish	Banish	Deal medium Holy damage to all opponents	forceful_dismissal	15	183	1	10	1	9	300	100	100	100	0	0	100	0	1
55	wrath	Wrath	Deal heavy Holy damage to all opponents	forceful_dismissal	25	255	1	10	1	9	450	100	100	100	0	0	100	0	1
56	divine_intervention	Divine Intervention	Deal severe Holy damage to all opponents	forceful_dismissal	35	318	1	10	1	9	600	100	100	100	0	0	100	0	1
57	shadow_bolt	Shadow Bolt	Deal light Shadow damage to one target\nChance of inflicting Curse	control_undead	0	40	1	11	0	10	100	100	100	100	4	5	100	0	1
58	bane	Bane	Deal medium Shadow damage to one target\nChance of inflicting Curse	control_undead	10	60	1	11	0	10	200	100	100	100	4	5	100	0	1
59	hex	Hex	Deal heavy Shadow damage to one target\nChance of inflicting Curse	control_undead	20	80	1	11	0	10	300	100	100	100	4	5	100	0	1
60	soulrend	Soulrend	Deal severe Shadow damage to one target\nChance of inflicting Curse	control_undead	30	100	1	11	0	10	400	100	100	100	4	5	100	0	1
61	blight	Blight	Deal light Shadow damage to all opponents\nChance of inflicting Curse	death_channel	5	100	1	11	1	10	100	100	100	100	4	5	100	0	1
62	desecrate	Desecrate	Deal medium Shadow damage to all opponents\nChance of inflicting Curse	death_channel	15	150	1	11	1	10	200	100	100	100	4	5	100	0	1
63	corruption	Corruption	Deal heavy Shadow damage to all opponents\nChance of inflicting Curse	death_channel	25	200	1	11	1	10	300	100	100	100	4	5	100	0	1
64	blasphemy	Blasphemy	Deal severe Shadow damage to all opponents\nChance of inflicting Curse	death_channel	35	250	1	11	1	10	400	100	100	100	4	5	100	0	1
65	cure	Cure	Light healing for one target	regeneration_new	0	20	1	12	0	0	100	100	100	100	0	0	100	0	1
66	prayer	Prayer	Medium healing for one target	regeneration_new	10	30	1	12	0	0	200	100	100	100	0	0	100	0	1
67	cleansing	Cleansing	Major healing for one target	regeneration_new	20	40	1	12	0	0	300	100	100	100	0	0	100	0	1
68	redemption	Redemption	Dramatic healing for one target	regeneration_new	30	50	1	12	0	0	400	100	100	100	0	0	100	0	1
69	healing circle	Healing Circle	Light healing for all allies	regeneration_new	5	50	1	12	1	0	100	100	100	100	0	0	100	0	1
70	blessing	Blessing	Medium healing for all allies	regeneration_new	15	75	1	12	1	0	200	100	100	100	0	0	100	0	1
71	consecrate	Consecrate	Major healing for all allies	regeneration_new	25	100	1	12	1	0	300	100	100	100	0	0	100	0	1
72	salvation	Salvation	Dramatic healing for all allies	regeneration_new	35	125	1	12	1	0	400	100	100	100	0	0	100	0	1
73	bash	Bash	Deal light Physical damage to one target	sure_blade_new	0	80	0	2	0	1	200	100	100	100	0	0	100	0	1
74	giant_slice	Giant Slice	Deal medium Physical damage to one target	sure_blade_new	10	120	0	2	0	1	400	100	100	100	0	0	100	0	1
75	vicious_strike	Vicious Strike	Deal heavy Physical damage to one target	sure_blade_new	20	160	0	2	0	1	600	100	100	100	0	0	100	0	1
76	lacerate	Lacerate	Deal severe Physical damage to one target	sure_blade_new	30	200	0	2	0	1	800	100	100	100	0	0	100	0	1
77	cleave	Cleave	Deal light Physical damage to all opponents	spectral_weapon	5	200	0	2	1	1	200	100	100	100	0	0	100	0	1
78	ground_slam	Ground Slam	Deal medium Physical damage to all opponents	spectral_weapon	15	300	0	2	1	1	400	100	100	100	0	0	100	0	1
79	sunder	Sunder	Deal heavy Physical damage to all opponents	spectral_weapon	25	400	0	2	1	1	600	100	100	100	0	0	100	0	1
80	bladestorm	Bladestorm	Deal severe Physical damage to all opponents	spectral_weapon	35	500	0	2	1	1	800	100	100	100	0	0	100	0	1
81	snap	Snap	Deal medium Projectile damage to one target\nHigh Critical strike chance	stone_arrow_new	10	120	0	3	0	2	300	100	125	125	0	0	100	0	1
82	snipe	Snipe	Deal severe Projectile damage to one target\nHigh Critical strike chance	stone_arrow_new	30	200	0	3	0	2	700	100	125	125	0	0	100	0	1
83	split_shot	Split Shot	Deal medium Shadow damage to all opponents\nHigh Critical strike chance	sandblast_new	15	300	0	3	1	2	300	100	125	125	0	0	100	0	1
84	shatter_shot	Shatter Shot	Deal severe Shadow damage to all opponents\nHigh Critical strike chance	sandblast_new	35	500	0	3	1	2	700	100	125	125	0	0	100	0	1
85	megi	Megi	Deal light Almighty damage to all opponents\nDamage cannot be Resisted	battlesphere	10	100	1	1	1	0	75	100	100	100	0	0	100	0	1
86	megido	Megido	Deal medium Almighty damage to all opponents\nDamage cannot be Resisted	battlesphere	20	150	1	1	1	0	150	100	100	100	0	0	100	0	1
87	megidola	Megidola	Deal heavy Almighty damage to all opponents\nDamage cannot be Resisted	battlesphere	30	200	1	1	1	0	225	100	100	100	0	0	100	0	1
88	megidolaon	Megidolaon	Deal severe Almighty damage to all opponents\nDamage cannot be Resisted	battlesphere	40	250	1	1	1	0	300	100	100	100	0	0	100	0	1
89	haste	Haste	Grants Haste to one target\nHaste increases Speed granting more frequent turns	haste_new	0	80	1	13	0	0	100	0	0	0	0	0	0	4	1
90	haste_aura	Haste Aura	Grants Haste to all allies\nHaste increases Speed granting more frequent turns	haste_new	20	120	1	13	1	0	100	0	0	0	0	0	0	4	1
91	defiance	Defiance	Grants Defiance to one target\nDefiance increases Defense reducing damage taken	condensation_shield_new	0	80	1	13	0	0	100	0	0	0	0	0	0	2	1
92	defiance_aura	Defiance Aura	Grants Defiance to all allies\nDefiance increases Defense reducing damage taken	condensation_shield_new	20	120	1	13	1	0	100	0	0	0	0	0	0	2	1
93	might	Might	Grants Might to one target\nMight increases Power increasing damage dealt	infusion	0	80	1	13	0	0	100	0	0	0	0	0	0	1	1
94	might_aura	Might Aura	Grants Might to all allies\nMight increases Power increasing damage dealt	infusion	20	120	1	13	1	0	100	0	0	0	0	0	0	1	1
95	evasion	Evasion	Grants Evasion to one target\nEvasion increases Accuracy increasing Hit chance and Dodge decreasing chance to be Hit	phase_shift_new	0	80	1	13	0	0	100	0	0	0	0	0	0	3	1
96	evasion_aura	Evasion Aura	Grants Evasion to all allies\nEvasion increases Accuracy increasing Hit chance and Dodge decreasing chance to be Hit	phase_shift_new	20	120	1	13	1	0	100	0	0	0	0	0	0	3	1
97	cripple	Cripple	Inflict Cripple on one target\nCripple decreases Speed granting less frequent turns	slow_new	0	80	1	13	0	0	-100	0	0	0	0	0	0	4	1
98	mass_cripple	Mass Cripple	Inflict Cripple on all opponents\nCripple decreases Speed granting less frequent turns	slow_new	20	120	1	13	1	0	-100	0	0	0	0	0	0	4	1
99	vulnerability	Vulnerability	Inflict Vulnerability on one target\nVulnerability decreases Defense increasing damage taken	shatter_new	0	80	1	13	0	0	-100	0	0	0	0	0	0	2	1
100	mass_vulnerability	Mass Vulnerability	Inflict Vulnerability on all opponents\nVulnerability decreases Defense increasing damage taken	shatter_new	20	120	1	13	1	0	-100	0	0	0	0	0	0	2	1
101	weakness	Weakness	Inflict Weakness on one target\nWeakness decreases Power reducing damage dealt	warp_weapon_new	0	80	1	13	0	0	-100	0	0	0	0	0	0	1	1
102	mass_weakness	Mass Weakness	Inflict Weakness on all opponents\nWeakness decreases Power reducing damage dealt	warp_weapon_new	20	120	1	13	1	0	-100	0	0	0	0	0	0	1	1
103	daze	Daze	Inflict Daze on one target\nDaze decreases Accuracy decreasing Hit chance and Dodge increasing chance to be Hit	passwall_new	0	80	1	13	0	0	-100	0	0	0	0	0	0	3	1
104	mass_daze	Mass Daze	Inflict Daze on all opponents\nDaze decreases Accuracy decreasing Hit chance and Dodge increasing chance to be Hit	passwall_new	20	120	1	13	1	0	-100	0	0	0	0	0	0	3	1
105	fatigue	Fatigue	Inflict Sleep on one target	darkness	0	100	1	15	0	0	100	100	0	0	6	50	100	0	1
106	mass_fatigue	Mass Fatigue	Inflict Sleep on all opponents	darkness	20	150	1	15	1	0	100	100	0	0	6	50	100	0	1
107	amnesia	Amnesia	Inflict Forget on one target	mass_confusion_new	0	100	1	15	0	0	100	100	0	0	7	50	100	0	1
108	mass_amnesia	Mass Amnesia	Inflict Forget on all opponents	mass_confusion_new	20	150	1	15	1	0	100	100	0	0	7	50	100	0	1
109	frenzy	Frenzy	Inflict Berserk on one target	berserker_rage_new	0	100	1	15	0	0	100	100	0	0	8	50	100	0	1
110	mass_frenzy	Mass Frenzy	Inflict Berserk on all opponents	berserker_rage_new	20	150	1	15	1	0	100	100	0	0	8	50	100	0	1
111	confusion	Confusion	Inflict Confusion on one target	confuse_new	0	100	1	15	0	0	100	100	0	0	9	50	100	0	1
112	mass_confusion	Mass Confusion	Inflict Confusion on all opponents	confuse_new	20	150	1	15	1	0	100	100	0	0	9	50	100	0	1
113	conversion	Conversion	Brainwash one target	enslavement_new	10	150	1	15	0	0	100	100	0	0	10	50	100	0	1
114	mass_conversion	Mass Conversion	Brainwash all opponents	enslavement_new	30	225	1	15	1	0	100	100	0	0	10	50	100	0	1
115	terror	Terror	Inflict Fear on one target	cause_fear_new	0	100	1	15	0	0	100	100	0	0	11	50	100	0	1
116	mass_terror	Mass Terror	Inflict Fear on all opponents	cause_fear_new	20	150	1	15	1	0	100	100	0	0	11	50	100	0	1
117	short_fuse	Short Fuse	Deal light Blast damage to one target\nBlast damage is delayed	lees_rapid_deconstruction_new	8	80	1	16	0	0	100	100	0	0	5	100	150	0	1
118	timebomb	Time Bomb	Deal medium Shadow Blast damage to one target\nBlast damage is delayed	lees_rapid_deconstruction_new	18	120	1	16	0	0	100	100	0	0	5	100	300	0	1
119	mine	Mine	Deal heavy Blast damage to one target\nBlast damage is delayed	lees_rapid_deconstruction_new	28	160	1	16	0	0	100	100	0	0	5	100	450	0	1
120	warhead	Warhead	Deal severe Blast damage to one target\nBlast damage is delayed	lees_rapid_deconstruction_new	38	200	1	16	0	0	100	100	0	0	5	100	600	0	1
121	shock_break	Shock Break	Break out of Shock	cure_poison_new	5	80	1	17	0	0	0	0	0	0	1	0	0	0	1
122	freeze_break	Freeze Break	Break out of Freeze	cure_poison_new	5	80	1	17	0	0	0	0	0	0	2	0	0	0	1
123	burn_break	Burn Break	Break out of Burn	cure_poison_new	5	80	1	17	0	0	0	0	0	0	3	0	0	0	1
124	curse_break	Curse Break	Break out of Curse	cure_poison_new	5	80	1	17	0	0	0	0	0	0	4	0	0	0	1
125	sleep_break	Sleep Break	Break out of Sleep	cure_poison_new	5	80	1	17	0	0	0	0	0	0	6	0	0	0	1
126	forget_break	Forget Break	Break out of Forget	cure_poison_new	5	80	1	17	0	0	0	0	0	0	7	0	0	0	1
127	berserk_break	Berserk Break	Break out of Berserk	cure_poison_new	5	80	1	17	0	0	0	0	0	0	8	0	0	0	1
128	confuse_break	Confuse Break	Break out of Confuse	cure_poison_new	5	80	1	17	0	0	0	0	0	0	9	0	0	0	1
129	brainwash_break	Brainwash Break	Break out of Brainwash	cure_poison_new	5	80	1	17	0	0	0	0	0	0	10	0	0	0	1
130	fear_break	Fear Break	Break out of Fear	cure_poison_new	5	80	1	17	0	0	0	0	0	0	11	0	0	0	1
